relationshipId,startNodeId,endNodeId,type,amount,unit,stepOrder
fc4baa8b5733471c,f301a5456ec4a718,b47f0d2431a888a2,HAS_DIFFICULTY_LEVEL,,,
ec056fe86b5e2979,abd2ed53d559cfd8,8aad803639825b03,REQUIRES,2,块,
84ecd36c27dd6ed2,abd2ed53d559cfd8,7dc733e0655cdcfe,REQUIRES,8-15,克,
ad0cee97a351b943,abd2ed53d559cfd8,8d8c7cfe7130f3a0,REQUIRES,1,个,
c6c71e32bfe6159d,abd2ed53d559cfd8,591bba36f3a09e1c,REQUIRES,10-15,毫升,
d38c3b95c71358a5,abd2ed53d559cfd8,809cd62c6159126d,REQUIRES,2,克,
66aaf440a6a7d291,abd2ed53d559cfd8,679c6e7f2b27db3b,CONTAINS_STEP,,,1.0
9ebfb3f409a7cd53,abd2ed53d559cfd8,1d6391098f058ee8,CONTAINS_STEP,,,2.0
51f8afb8dd2ef298,abd2ed53d559cfd8,a20cf7a1211663a7,CONTAINS_STEP,,,3.0
eeaaaf75c05e2595,abd2ed53d559cfd8,5239925175359b12,CONTAINS_STEP,,,4.0
6c54c588bbae88bd,abd2ed53d559cfd8,487d84ee0d1005ca,CONTAINS_STEP,,,5.0
ec33ed645461049a,abd2ed53d559cfd8,f4cebd139bbf714d,CONTAINS_STEP,,,6.0
a67656af0ae31976,abd2ed53d559cfd8,2b81886bfba999c6,BELONGS_TO_CATEGORY,,,
d7a9a6ecfa44a406,abd2ed53d559cfd8,90fbf75112044729,HAS_DIFFICULTY_LEVEL,,,
7298039d0f6774ed,ff67e774d1594ea5,8d8c7cfe7130f3a0,REQUIRES,1,个,
e0412785fe3754a5,ff67e774d1594ea5,faa444361935213f,REQUIRES,2,片,
644228174909b976,ff67e774d1594ea5,f7db4278b3f65a17,REQUIRES,2,片,
6d96e1ba6e32a718,ff67e774d1594ea5,756bed3f74e2e3fb,REQUIRES,10,g,
74ad40ba0d7187a0,ff67e774d1594ea5,dac00a05c13df257,REQUIRES,20,g,
456c53cdd4654a84,ff67e774d1594ea5,012f941f126fbf2c,REQUIRES,1,g,
41653c399c12d41c,ff67e774d1594ea5,51c3b439776e8d2a,REQUIRES,2,g,
576059ab3b3fd4a0,ff67e774d1594ea5,0c3a2907a94934e0,CONTAINS_STEP,,,1.0
b0753d93ed34cd73,ff67e774d1594ea5,db190c0ce1f96ee4,CONTAINS_STEP,,,2.0
e3b17f00408d3179,ff67e774d1594ea5,b88048af8cb082df,CONTAINS_STEP,,,3.0
14ba52a0cb4cd11b,ff67e774d1594ea5,d5d51a040c9b3079,CONTAINS_STEP,,,4.0
0ddb9cfc01ba194c,ff67e774d1594ea5,653c54f5382c2db6,CONTAINS_STEP,,,5.0
e88ef02667b18a8d,ff67e774d1594ea5,042038579f180e23,CONTAINS_STEP,,,6.0
